step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
239,118174,478,0.026021643952650407,1.0,1.0,,,,,
240,118592,480,0.03603709274097687,1.0,1.0,,,,,
241,118962,482,0.03904682626925616,0.5,0.5,0.02905326964472456,0.5,0.5,,
242,119796,484,0.022997604380133315,1.0,1.0,,,,,
243,120294,486,0.039326390445832304,0.0,0.0,,,,,
244,120744,488,0.03946358802273867,0.0,0.0,,,,,
245,121194,490,0.03551857867809369,0.0,0.0,,,,,
246,121852,492,0.027439601345539837,0.0,0.0,,,,,
247,122286,494,0.032136843310085914,0.5,0.5,,,,,
248,122656,496,0.02943761609762315,1.0,1.0,,,,,
249,123170,498,0.025771011402432296,1.0,1.0,0.02595318481430565,0.0,0.0,,
250,123460,500,0.03649488776835016,0.5,0.5,,,,,
251,124102,502,0.021168450413591926,1.0,1.0,,,,,
252,124408,504,0.03384400027074183,1.0,1.0,,,,,
253,124826,506,0.032431888004704465,0.5,0.5,,,,,
254,125324,508,0.02619285325191266,0.5,0.5,,,,,
255,125758,510,0.020496215720817827,1.0,1.0,,,,,
256,126240,512,0.026541602497706967,0.5,0.5,,,,,
257,126674,514,0.04008734846830016,0.5,0.5,0.01967613886379109,1.0,1.0,,
258,127092,516,0.03528721786986212,0.5,0.5,,,,,
259,127542,518,0.02932380398997079,0.5,0.5,,,,,
260,127928,520,0.02678439936333613,1.0,1.0,,,,,
261,128282,522,0.029779713887298633,0.5,0.5,,,,,
262,128620,524,0.02852042290853379,1.0,1.0,,,,,
263,128910,526,0.03488026559060624,0.5,0.5,,,,,
264,129376,528,0.03476797467449646,0.5,0.5,,,,,
265,129778,530,0.034464520478816124,0.0,0.0,0.02687709387658591,1.0,1.0,,
266,130276,532,0.03465148882747716,0.0,0.0,,,,,
267,130678,534,0.037529154478836244,0.0,0.0,,,,,
268,130952,536,0.033861686222902365,0.5,0.5,,,,,
269,131402,538,0.031177184974333482,1.0,1.0,,,,,
270,131836,540,0.02818657461994547,0.5,0.5,,,,,
271,132206,542,0.031107541723495554,0.5,0.5,,,,,
272,132720,544,0.02846783905213457,0.5,0.5,,,,,
273,133266,546,0.029836988923272984,0.0,0.0,0.030780008106882056,0.5,0.5,,
274,133620,548,0.034494384237390145,0.5,0.5,,,,,
275,134422,550,0.021572946952038912,1.0,1.0,,,,,
276,135112,552,0.026065465344982355,1.0,1.0,,,,,
277,135322,554,0.02809340742792791,1.0,1.0,,,,,
278,135660,556,0.03119348887409918,1.0,1.0,,,,,
279,136030,558,0.030441379168484634,0.5,0.5,,,,,
280,136384,560,0.03504684861403058,0.5,0.5,,,,,
281,138050,562,0.018442448065640066,0.5,0.5,0.036235457814522795,0.5,0.5,,
282,138548,564,0.030788774770986613,0.5,0.5,,,,,
283,138822,566,0.028701685237392666,1.0,1.0,,,,,
284,139144,568,0.03175744857399696,0.5,0.5,,,,,
285,139450,570,0.03713778187280887,0.5,0.5,,,,,
286,139804,572,0.03364671992568375,1.0,1.0,,,,,
287,140174,574,0.026318697429595216,1.0,1.0,,,,,
288,140624,576,0.033994063816043245,0.5,0.5,,,,,
289,141218,578,0.027087390963450256,1.0,1.0,0.035758205602810275,0.5,0.5,,
290,142420,580,0.022123493540979203,1.0,1.0,,,,,
291,144566,582,0.028594469111417657,0.5,0.5,,,,,
292,145944,584,0.020545425825761795,1.0,1.0,,,,,
293,146394,586,0.02747252824171872,0.5,0.5,,,,,
294,146668,588,0.06491254747619678,0.0,0.0,,,,,
295,147198,590,0.030616310424635286,0.5,0.5,,,,,
296,147648,592,0.03577291134196588,0.5,0.5,,,,,
297,148562,594,0.02527943787464872,0.0,0.0,0.03168885293210141,0.5,0.5,,
298,149012,596,0.03189064905157595,0.0,0.0,,,,,
299,149334,598,0.02772623486744851,1.0,1.0,,,,,
300,149800,600,0.03554288108835393,1.0,1.0,,,,,
301,150202,602,0.02943547472134524,1.0,1.0,,,,,
302,150748,604,0.029842405527863186,1.0,1.0,,,,,
303,151166,606,0.03285244573761212,0.5,0.5,,,,,
304,151472,608,0.037413438946837,0.5,0.5,,,,,
305,151746,610,0.040112776896841,0.0,0.0,0.027145640096667714,0.5,0.5,,
306,152212,612,0.022191192946883008,1.0,1.0,,,,,
307,152502,614,0.026060027910203246,0.5,0.5,,,,,
308,153176,616,0.02562116401302644,1.0,1.0,,,,,
309,153610,618,0.03221895892858878,0.5,0.5,,,,,
310,154060,620,0.02968798775635541,0.5,0.5,,,,,
311,154574,622,0.0314434796341871,1.0,1.0,,,,,
312,155136,624,0.026326919875108223,0.5,0.5,,,,,
313,155538,626,0.03152603092959434,1.0,1.0,0.026642407244145946,1.0,1.0,,
314,155876,628,0.033220457756618825,0.5,0.5,,,,,
315,156582,630,0.02375382969707971,1.0,1.0,,,,,
316,156968,632,0.033356862708999416,0.5,0.5,,,,,
317,157482,634,0.03280884028698551,0.5,0.5,,,,,
318,157980,636,0.026627610060091806,0.5,0.5,,,,,
319,158526,638,0.026320398460474122,0.5,0.5,,,,,
320,158944,640,0.04611139711256678,0.0,0.0,,,,,
321,159394,642,0.028037982507757343,1.0,1.0,0.03152667564661458,0.5,0.5,,
322,159668,644,0.04224423737360506,0.0,0.0,,,,,
323,160102,646,0.02329760452316266,1.0,1.0,,,,,
324,160648,648,0.024521424491994605,1.0,1.0,,,,,
325,161178,650,0.021182572513687114,1.0,1.0,,,,,
326,161644,652,0.029494807848803813,0.0,0.0,,,,,
327,161998,654,0.030533930477964034,1.0,1.0,,,,,
328,162304,656,0.025799718073410888,1.0,1.0,,,,,
329,162866,658,0.026871549740543874,0.5,0.5,0.03258736767799973,0.0,0.0,,
330,163156,660,0.03127630143291956,1.0,1.0,,,,,
331,163670,662,0.028507130411394428,0.5,0.5,,,,,
332,164216,664,0.03165241467815255,0.5,0.5,,,,,
333,164586,666,0.034826916846922476,0.5,0.5,,,,,
334,165116,668,0.02775927929469066,0.5,0.5,,,,,
335,165550,670,0.038953139373735644,0.5,0.5,,,,,
336,166080,672,0.03125818632346526,1.0,1.0,,,,,
337,166530,674,0.03198641249197343,1.0,1.0,0.02784219182119004,0.5,0.5,,
338,166836,676,0.0294781837026293,0.5,0.5,,,,,
