year,context_type,n,tot_n,prop
1977-01-01,extends,1,2802,0.00035688793718772306
1982-01-01,future_work,1,1051,0.0009514747859181732
1976-01-01,extends,1,1092,0.0009157509157509158
1972-01-01,future_work,1,455,0.002197802197802198
1966-01-01,future_work,1,423,0.002364066193853428
1972-01-01,extends,1,455,0.002197802197802198
1969-01-01,extends,1,414,0.0024154589371980675
1968-01-01,uses,1,224,0.004464285714285714
1996-01-01,differences,1,198,0.005050505050505051
1967-01-01,uses,1,312,0.003205128205128205
1963-01-01,motivation,1,21,0.047619047619047616
1989-01-01,differences,1,409,0.0024449877750611247
1990-01-01,uses,1,54,0.018518518518518517
